# Repeating specials + A to clear boot prompts. B = 0x200, A = 0x100.
# Drives Sonic into CHARACTER-SPECIFIC states (msid >= 0x155) - the only thing that
# indexes fp->x20_actionStateList, i.e. the MoveLogic table.
# frames buttons stickX stickY
60 0000 0 0
6 0100 0 0
20 0000 0 0
8 0200 0 0
50 0000 0 0
8 0200 0 100
60 0000 0 0
8 0200 0 -100
50 0000 0 0
8 0200 100 0
60 0000 0 0
6 0100 0 0
20 0000 0 0
8 0200 0 0
50 0000 0 0
8 0200 0 100
60 0000 0 0
8 0200 0 -100
50 0000 0 0
8 0200 100 0
60 0000 0 0
6 0100 0 0
20 0000 0 0
8 0200 0 0
50 0000 0 0
8 0200 0 100
60 0000 0 0
8 0200 0 -100
50 0000 0 0
8 0200 100 0
60 0000 0 0
6 0100 0 0
20 0000 0 0
8 0200 0 0
50 0000 0 0
8 0200 0 100
60 0000 0 0
8 0200 0 -100
50 0000 0 0
8 0200 100 0
60 0000 0 0
6 0100 0 0
20 0000 0 0
8 0200 0 0
50 0000 0 0
8 0200 0 100
60 0000 0 0
8 0200 0 -100
50 0000 0 0
8 0200 100 0
60 0000 0 0
6 0100 0 0
20 0000 0 0
8 0200 0 0
50 0000 0 0
8 0200 0 100
60 0000 0 0
8 0200 0 -100
50 0000 0 0
8 0200 100 0
60 0000 0 0
6 0100 0 0
20 0000 0 0
8 0200 0 0
50 0000 0 0
8 0200 0 100
60 0000 0 0
8 0200 0 -100
50 0000 0 0
8 0200 100 0
60 0000 0 0
6 0100 0 0
20 0000 0 0
8 0200 0 0
50 0000 0 0
8 0200 0 100
60 0000 0 0
8 0200 0 -100
50 0000 0 0
8 0200 100 0
60 0000 0 0
6 0100 0 0
20 0000 0 0
8 0200 0 0
50 0000 0 0
8 0200 0 100
60 0000 0 0
8 0200 0 -100
50 0000 0 0
8 0200 100 0
60 0000 0 0
6 0100 0 0
20 0000 0 0
8 0200 0 0
50 0000 0 0
8 0200 0 100
60 0000 0 0
8 0200 0 -100
50 0000 0 0
8 0200 100 0
60 0000 0 0
6 0100 0 0
20 0000 0 0
8 0200 0 0
50 0000 0 0
8 0200 0 100
60 0000 0 0
8 0200 0 -100
50 0000 0 0
8 0200 100 0
60 0000 0 0
6 0100 0 0
20 0000 0 0
8 0200 0 0
50 0000 0 0
8 0200 0 100
60 0000 0 0
8 0200 0 -100
50 0000 0 0
8 0200 100 0
60 0000 0 0
6 0100 0 0
20 0000 0 0
8 0200 0 0
50 0000 0 0
8 0200 0 100
60 0000 0 0
8 0200 0 -100
50 0000 0 0
8 0200 100 0
60 0000 0 0
6 0100 0 0
20 0000 0 0
8 0200 0 0
50 0000 0 0
8 0200 0 100
60 0000 0 0
8 0200 0 -100
50 0000 0 0
8 0200 100 0
60 0000 0 0
6 0100 0 0
20 0000 0 0
8 0200 0 0
50 0000 0 0
8 0200 0 100
60 0000 0 0
8 0200 0 -100
50 0000 0 0
8 0200 100 0
60 0000 0 0
6 0100 0 0
20 0000 0 0
8 0200 0 0
50 0000 0 0
8 0200 0 100
60 0000 0 0
8 0200 0 -100
50 0000 0 0
8 0200 100 0
60 0000 0 0
6 0100 0 0
20 0000 0 0
8 0200 0 0
50 0000 0 0
8 0200 0 100
60 0000 0 0
8 0200 0 -100
50 0000 0 0
8 0200 100 0
60 0000 0 0
6 0100 0 0
20 0000 0 0
8 0200 0 0
50 0000 0 0
8 0200 0 100
60 0000 0 0
8 0200 0 -100
50 0000 0 0
8 0200 100 0
60 0000 0 0
6 0100 0 0
20 0000 0 0
8 0200 0 0
50 0000 0 0
8 0200 0 100
60 0000 0 0
8 0200 0 -100
50 0000 0 0
8 0200 100 0
60 0000 0 0
6 0100 0 0
20 0000 0 0
8 0200 0 0
50 0000 0 0
8 0200 0 100
60 0000 0 0
8 0200 0 -100
50 0000 0 0
8 0200 100 0
60 0000 0 0
6 0100 0 0
20 0000 0 0
8 0200 0 0
50 0000 0 0
8 0200 0 100
60 0000 0 0
8 0200 0 -100
50 0000 0 0
8 0200 100 0
60 0000 0 0
6 0100 0 0
20 0000 0 0
8 0200 0 0
50 0000 0 0
8 0200 0 100
60 0000 0 0
8 0200 0 -100
50 0000 0 0
8 0200 100 0
60 0000 0 0
900 0000 0 0
